ScheduleID,FlightNumber,AircraftType,AircraftTailNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,Status,DepartureDates
SCH-ZZ-2517918,3265,Boeing 777-300,VT-6829,BBI,GOI,18:46,0:06,Scheduled,"['12/11/2023', '12/13/2023', '12/18/2023', '12/20/2023']"
SCH-ZZ-9004907,4828,Boeing 757,VT-1032,MAA,DEL,1:17,12:16,Scheduled,"['12/09/2023', '12/13/2023', '12/14/2023', '12/15/2023', '12/16/2023']"
SCH-ZZ-2192077,2069,Boeing 787,VT-9562,BLR,TRV,12:25,17:09,Scheduled,"['12/11/2023', '12/13/2023', '12/14/2023', '12/15/2023']"
SCH-ZZ-7229948,2323,Airbus A320 Neo,VT-3424,CCU,COK,6:31,1:00,Scheduled,"['12/10/2023', '12/11/2023', '12/12/2023', '12/13/2023', '12/14/2023']"
SCH-ZZ-1854929,3181,Boeing 717,VT-8058,MAA,CCU,20:49,12:30,Scheduled,"['12/12/2023', '12/14/2023', '12/15/2023']"
SCH-ZZ-3206199,3869,ATR 72,VT-2189,HYD,CJB,2:21,23:44,Scheduled,"['12/11/2023', '12/15/2023', '12/18/2023', '12/22/2023']"
SCH-ZZ-7048209,4886,Airbus A321 Neo,VT-9278,BOM,PAT,10:23,20:48,Scheduled,"['12/09/2023', '12/10/2023', '12/11/2023', '12/12/2023', '12/13/2023', '12/16/2023', '12/17/2023']"
SCH-ZZ-1016322,2502,Boeing 777-300,VT-6829,GAU,HYD,13:27,10:37,Scheduled,"['12/09/2023', '12/12/2023', '12/13/2023', '12/16/2023', '12/19/2023', '12/20/2023']"
SCH-ZZ-7873449,2432,Airbus A321-200,VT-6159,LKO,IDR,11:52,2:32,Scheduled,"['12/10/2023', '12/12/2023', '12/17/2023']"
SCH-ZZ-1474449,4259,Boeing 767,VT-2887,CCU,MAA,21:43,13:07,Scheduled,"['12/13/2023', '12/14/2023', '12/15/2023', '12/16/2023']"
SCH-ZZ-8297347,4938,ATR 72,VT-4084,COK,IDR,13:02,15:16,Scheduled,"['12/11/2023', '12/14/2023', '12/15/2023', '12/16/2023']"
SCH-ZZ-4332641,4763,Airbus A320-200,VT-8615,AMD,CNN,22:15,18:52,Scheduled,"['12/11/2023', '12/13/2023', '12/14/2023', '12/15/2023', '12/16/2023', '12/18/2023', '12/20/2023', '12/21/2023', '12/22/2023', '12/23/2023']"
SCH-ZZ-2529141,3688,Boeing 777,VT-6857,PAT,HYD,6:25,21:34,Scheduled,"['12/10/2023', '12/11/2023', '12/12/2023', '12/13/2023', '12/14/2023', '12/17/2023']"
SCH-ZZ-1972891,3455,Boeing 777,VT-8969,MAA,HYD,10:06,17:08,Scheduled,"['12/10/2023', '12/17/2023']"
SCH-ZZ-5237867,4516,Airbus A320-200,VT-6548,COK,CCU,0:01,22:08,Scheduled,"['12/11/2023', '12/12/2023', '12/14/2023', '12/16/2023', '12/18/2023', '12/19/2023', '12/21/2023', '12/23/2023', '12/25/2023', '12/26/2023']"
SCH-ZZ-7320637,2877,Boeing 787,VT-3505,GOI,BOM,1:10,0:31,Scheduled,"['12/11/2023', '12/13/2023', '12/14/2023', '12/15/2023', '12/16/2023', '12/18/2023']"
SCH-ZZ-2526622,4946,Boeing 757,VT-9553,COK,GAU,6:50,7:48,Scheduled,"['12/12/2023', '12/13/2023', '12/15/2023', '12/16/2023', '12/17/2023', '12/19/2023']"
SCH-ZZ-4710588,3584,Airbus A320 Neo,VT-1052,LKO,GOI,5:34,6:38,Scheduled,"['12/16/2023', '12/18/2023']"
SCH-ZZ-3482484,2914,Boeing 787,VT-6458,GOI,COK,23:47,2:27,Scheduled,"['12/12/2023', '12/15/2023', '12/16/2023', '12/17/2023', '12/19/2023']"
SCH-ZZ-4609150,3171,ATR 72,VT-9254,IDR,COK,10:45,18:58,Scheduled,"['12/12/2023', '12/18/2023', '12/19/2023']"
SCH-ZZ-5781287,4186,Boeing 787,VT-8728,BOM,GAU,7:43,13:17,Scheduled,"['12/16/2023', '12/17/2023', '12/18/2023']"
SCH-ZZ-8515821,4838,Boeing 787,VT-4107,DEL,GAU,19:22,22:39,Scheduled,"['12/14/2023', '12/18/2023']"
SCH-ZZ-6383825,4938,Boeing 717,VT-1167,COK,IDR,8:16,4:53,Scheduled,"['12/15/2023', '12/16/2023', '12/17/2023', '12/18/2023', '12/19/2023']"
SCH-ZZ-3933513,2684,BAe 146,VT-2584,PNQ,CNN,20:10,1:13,Scheduled,"['12/14/2023', '12/16/2023', '12/17/2023', '12/18/2023', '12/19/2023']"
SCH-ZZ-1430826,2008,Boeing 717,VT-1167,GAU,LKO,22:15,12:46,Scheduled,"['12/14/2023', '12/15/2023', '12/16/2023', '12/17/2023', '12/18/2023', '12/19/2023', '12/21/2023']"
SCH-ZZ-8807005,3355,Boeing 767,VT-6893,BOM,CCU,17:10,23:31,Scheduled,[]
SCH-ZZ-1589389,2679,Airbus A321 Neo,VT-4712,GOI,BLR,22:49,1:50,Scheduled,"['12/16/2023', '12/17/2023', '12/19/2023', '12/20/2023']"
SCH-ZZ-6301036,2055,Boeing 717,VT-2588,BBI,MAA,10:51,0:16,Scheduled,"['12/17/2023', '12/18/2023', '12/20/2023', '12/24/2023', '12/25/2023', '12/27/2023']"
SCH-ZZ-9594677,2049,BAe 146,VT-5535,CNN,CCU,2:09,19:44,Scheduled,"['12/14/2023', '12/15/2023', '12/16/2023', '12/19/2023', '12/20/2023', '12/21/2023', '12/22/2023']"
SCH-ZZ-4348536,2526,Airbus A320 Neo,VT-3302,GAU,BLR,21:14,20:24,Scheduled,"['12/14/2023', '12/16/2023', '12/20/2023', '12/21/2023']"
SCH-ZZ-4169396,2120,Boeing 777,VT-8969,BLR,JAI,8:01,8:17,Scheduled,"['12/14/2023', '12/15/2023', '12/16/2023', '12/17/2023', '12/18/2023', '12/21/2023']"
SCH-ZZ-2688489,3140,Airbus A320 Neo,VT-9284,CCU,LKO,14:20,5:25,Scheduled,"['12/15/2023', '12/16/2023', '12/18/2023', '12/22/2023']"
SCH-ZZ-6644158,3323,Boeing 777,VT-6552,LKO,IDR,15:47,6:55,Scheduled,"['12/14/2023', '12/15/2023', '12/16/2023', '12/18/2023', '12/21/2023']"
SCH-ZZ-7813337,3694,Boeing 777-300,VT-3828,IDR,BBI,17:02,8:13,Scheduled,"['12/15/2023', '12/18/2023', '12/19/2023', '12/22/2023', '12/25/2023', '12/26/2023', '12/29/2023']"
SCH-ZZ-6592378,4341,Boeing 717,VT-7866,TRV,CCU,6:17,0:30,Scheduled,"['12/15/2023', '12/16/2023', '12/18/2023', '12/21/2023', '12/22/2023']"
SCH-ZZ-5071799,4167,Boeing 787,VT-6785,IDR,MAA,13:53,1:04,Scheduled,"['12/16/2023', '12/17/2023', '12/18/2023', '12/19/2023', '12/20/2023', '12/21/2023', '12/23/2023', '12/24/2023', '12/25/2023', '12/26/2023', '12/27/2023']"
SCH-ZZ-9164842,2016,Boeing 777,VT-2620,BBI,LKO,11:13,11:41,Scheduled,"['12/16/2023', '12/20/2023']"
SCH-ZZ-2469436,2102,Airbus A320 Neo,VT-1490,BOM,HYD,6:46,6:47,Scheduled,"['12/16/2023', '12/18/2023', '12/21/2023', '12/22/2023', '12/23/2023']"
SCH-ZZ-1331445,2390,Boeing 757,VT-6787,CNN,HYD,4:53,7:29,Scheduled,"['12/16/2023', '12/18/2023', '12/20/2023', '12/21/2023', '12/22/2023', '12/23/2023']"
SCH-ZZ-7255314,2047,Airbus A320-200,VT-6548,IDR,COK,5:27,21:31,Scheduled,"['12/17/2023', '12/20/2023', '12/21/2023']"
SCH-ZZ-9528364,2299,BAe 146,VT-6664,TRV,BLR,0:39,21:05,Scheduled,"['12/20/2023', '12/22/2023', '12/23/2023']"
SCH-ZZ-9764612,3901,Airbus A321-200,VT-2116,PNQ,CCJ,13:33,9:22,Scheduled,"['12/17/2023', '12/20/2023', '12/24/2023']"
SCH-ZZ-7453592,2702,Airbus A320 Neo,VT-1052,CJB,PNQ,23:30,21:28,Scheduled,['12/20/2023']
SCH-ZZ-4180348,4529,Boeing 777,VT-2620,BBI,GAU,16:56,21:11,Scheduled,"['12/19/2023', '12/22/2023', '12/23/2023']"
SCH-ZZ-9668787,3782,Boeing 787,VT-1764,BBI,DEL,1:26,23:21,Scheduled,"['12/19/2023', '12/21/2023', '12/26/2023', '12/28/2023']"
SCH-ZZ-3966909,4262,Boeing 777-300,VT-7843,TRV,PNQ,4:47,17:50,Scheduled,"['12/18/2023', '12/22/2023', '12/23/2023', '12/24/2023', '12/25/2023']"
SCH-ZZ-9094190,3686,Boeing 777,VT-6552,COK,DEL,4:55,3:45,Scheduled,"['12/18/2023', '12/19/2023', '12/21/2023', '12/22/2023', '12/24/2023', '12/25/2023', '12/26/2023', '12/28/2023', '12/29/2023']"
SCH-ZZ-1861191,2914,Boeing 787,VT-6837,GOI,COK,8:21,16:34,Scheduled,"['12/20/2023', '12/24/2023', '12/25/2023']"
SCH-ZZ-7787481,4211,Boeing 787,VT-3505,GOI,DEL,13:55,13:19,Scheduled,"['12/20/2023', '12/21/2023', '12/22/2023', '12/24/2023', '12/25/2023', '12/27/2023', '12/28/2023']"
SCH-ZZ-3601620,3946,Boeing 757,VT-9553,TRV,CNN,19:45,22:07,Scheduled,"['12/20/2023', '12/21/2023', '12/22/2023', '12/23/2023', '12/25/2023', '12/26/2023', '12/27/2023']"
SCH-ZZ-1238701,3768,Boeing 717,VT-9798,PAT,PNQ,15:18,13:59,Scheduled,"['12/21/2023', '12/22/2023', '12/24/2023', '12/26/2023', '12/27/2023', '12/28/2023', '12/29/2023', '12/31/2023']"
SCH-ZZ-9131256,3869,Airbus A320 Neo,VT-7102,HYD,CJB,10:10,10:06,Scheduled,"['12/21/2023', '12/22/2023', '12/24/2023', '12/26/2023', '12/27/2023', '12/28/2023']"
SCH-ZZ-4460278,3027,Boeing 767,VT-9511,AMD,JAI,14:32,4:56,Scheduled,"['12/21/2023', '12/24/2023', '12/26/2023', '12/27/2023', '12/28/2023']"
SCH-ZZ-2990004,2347,Boeing 787,VT-6785,PAT,BOM,11:26,21:02,Scheduled,"['12/21/2023', '12/23/2023', '12/26/2023', '12/28/2023']"
SCH-ZZ-4016963,4830,ATR 72,VT-8486,GAU,BOM,11:49,10:43,Scheduled,"['12/23/2023', '12/25/2023', '12/27/2023']"
SCH-ZZ-3013947,3417,Airbus A320-200,VT-8615,CNN,MAA,15:29,3:26,Scheduled,"['12/24/2023', '12/25/2023', '12/27/2023', '12/28/2023', '12/29/2023', '12/31/2023']"
SCH-ZZ-3537600,4913,BAe 146,VT-4847,MAA,IDR,20:41,16:18,Scheduled,"['12/27/2023', '12/30/2023']"
SCH-ZZ-5336077,2679,Boeing 777-300,VT-6362,GOI,BLR,16:03,9:42,Scheduled,"['12/25/2023', '12/27/2023', '12/28/2023', '12/31/2023', '01/01/2024']"
SCH-ZZ-5438667,3597,Airbus A321-200,VT-6372,CJB,AMD,22:54,15:04,Scheduled,"['12/26/2023', '01/02/2024']"
SCH-ZZ-4493283,2885,Boeing 757,VT-2964,PAT,COK,4:44,13:35,Scheduled,"['12/29/2023', '12/30/2023', '12/31/2023', '01/01/2024', '01/03/2024']"
SCH-ZZ-3794224,3948,ATR 72,VT-4084,CCJ,PNQ,20:56,22:25,Scheduled,"['12/28/2023', '12/29/2023', '12/30/2023', '12/31/2023', '01/01/2024', '01/03/2024', '01/04/2024']"
SCH-ZZ-3882444,4763,BAe 146,VT-2584,AMD,CNN,21:56,0:36,Scheduled,"['12/30/2023', '12/31/2023', '01/06/2024']"
SCH-ZZ-8842436,4341,Airbus A321 Neo,VT-6642,TRV,CCU,22:13,13:34,Scheduled,"['01/04/2024', '01/05/2024', '01/07/2024', '01/11/2024']"
SCH-ZZ-3126325,4211,ATR 72,VT-2017,GOI,DEL,17:01,11:08,Scheduled,"['01/11/2024', '01/12/2024', '01/13/2024', '01/14/2024', '01/16/2024', '01/18/2024', '01/19/2024', '01/20/2024', '01/21/2024', '01/23/2024', '01/25/2024', '01/26/2024', '01/27/2024', '01/28/2024', '01/30/2024', '02/01/2024', '02/02/2024', '02/03/2024', '02/04/2024', '02/06/2024', '02/08/2024', '02/09/2024', '02/10/2024', '02/11/2024', '02/13/2024', '02/15/2024', '02/16/2024', '02/17/2024', '02/18/2024', '02/20/2024', '02/22/2024', '02/23/2024', '02/24/2024', '02/25/2024', '02/27/2024', '02/29/2024', '03/01/2024', '03/02/2024', '03/03/2024', '03/05/2024', '03/07/2024', '03/08/2024', '03/09/2024', '03/10/2024', '03/12/2024', '03/14/2024', '03/15/2024', '03/16/2024', '03/17/2024', '03/19/2024', '03/21/2024', '03/22/2024', '03/23/2024', '03/24/2024', '03/26/2024', '03/28/2024', '03/29/2024', '03/30/2024', '03/31/2024', '04/02/2024', '04/04/2024', '04/05/2024', '04/06/2024', '04/07/2024', '04/09/2024', '04/11/2024', '04/12/2024', '04/13/2024', '04/14/2024', '04/16/2024', '04/18/2024', '04/19/2024', '04/20/2024', '04/21/2024', '04/23/2024', '04/25/2024', '04/26/2024', '04/27/2024', '04/28/2024', '04/30/2024', '05/02/2024', '05/03/2024']"
SCH-ZZ-1892641,3323,Boeing 787,VT-2989,LKO,IDR,23:18,18:22,Cancelled,"['02/09/2024', '02/10/2024', '02/11/2024', '02/12/2024', '02/13/2024', '02/16/2024', '02/17/2024', '02/18/2024', '02/19/2024', '02/20/2024', '02/23/2024', '02/24/2024', '02/25/2024', '02/26/2024', '02/27/2024', '03/01/2024', '03/02/2024', '03/03/2024', '03/04/2024', '03/05/2024', '03/08/2024', '03/09/2024']"
SCH-ZZ-8409294,3417,Boeing 787,VT-2989,CNN,MAA,18:20,7:45,Scheduled,"['02/17/2024', '02/18/2024', '02/20/2024', '02/21/2024', '02/22/2024', '02/23/2024', '02/24/2024', '02/25/2024', '02/27/2024', '02/28/2024']"
SCH-ZZ-4219268,2526,Boeing 787,VT-8728,GAU,BLR,8:34,8:47,Scheduled,"['02/20/2024', '02/22/2024', '02/23/2024', '02/24/2024', '02/27/2024']"
SCH-ZZ-4285322,4204,Boeing 787,VT-7218,HYD,DEL,12:05,21:12,Scheduled,"['03/06/2024', '03/07/2024', '03/08/2024', '03/09/2024', '03/10/2024', '03/13/2024', '03/14/2024', '03/15/2024', '03/16/2024', '03/17/2024', '03/20/2024', '03/21/2024', '03/22/2024', '03/23/2024', '03/24/2024', '03/27/2024', '03/28/2024', '03/29/2024', '03/30/2024', '03/31/2024', '04/03/2024', '04/04/2024', '04/05/2024', '04/06/2024', '04/07/2024', '04/10/2024', '04/11/2024', '04/12/2024', '04/13/2024', '04/14/2024', '04/17/2024', '04/18/2024', '04/19/2024', '04/20/2024', '04/21/2024', '04/24/2024', '04/25/2024', '04/26/2024', '04/27/2024']"
SCH-ZZ-5124267,3152,Airbus A320-200,VT-2779,BBI,LKO,1:11,17:33,Scheduled,"['04/01/2024', '04/02/2024', '04/08/2024', '04/09/2024', '04/15/2024', '04/16/2024']"
SCH-ZZ-7283355,3417,Boeing 787,VT-6785,CNN,MAA,4:37,12:50,Scheduled,"['05/25/2024', '05/26/2024', '06/01/2024', '06/02/2024', '06/08/2024', '06/09/2024', '06/15/2024', '06/16/2024', '06/22/2024', '06/23/2024', '06/29/2024', '06/30/2024', '07/06/2024', '07/07/2024', '07/13/2024', '07/14/2024', '07/20/2024', '07/21/2024', '07/27/2024', '07/28/2024', '08/03/2024', '08/04/2024', '08/10/2024', '08/11/2024', '08/17/2024', '08/18/2024', '08/24/2024']"
SCH-ZZ-7310425,2943,Boeing 767,VT-4386,AMD,HYD,13:55,20:40,Scheduled,"['08/18/2024', '08/20/2024', '08/22/2024', '08/23/2024']"
SCH-ZZ-8305184,3083,Airbus A320 Neo,VT-3868,CCJ,MAA,22:42,6:43,Scheduled,"['08/23/2024', '08/24/2024', '08/26/2024', '08/27/2024']"
